Hidden architecture,regularization rate,Learning rate,Batch size,mean train,std train,mean test,std test,mean f-score,std f-score
20,0.0-0.0,0.001,5,0.64029629629629636,0.010575744176340619,0.61999999999999988,0.062325311426774659,0.44330782240215216,0.079658792849823148
20,0.0-0.0,0.001,10,0.62029850746268655,0.014717961833577355,0.61857142857142855,0.063261685215670063,0.43700020997234618,0.072594799507198979
20,0.001-0.0,0.001,5,0.61718518518518517,0.0084639151745693128,0.60533333333333328,0.059089386149760927,0.43118928449467508,0.069806113874506415
20,0.001-0.0,0.001,10,0.60328358208955224,0.0094584952344805278,0.6042857142857142,0.062938259348316275,0.43045800158680125,0.072856307984536961
20,0.0-0.001,0.001,5,0.63348148148148131,0.010395736173540053,0.61466666666666658,0.0771607269132282,0.44202046402080875,0.0899310484460078
20,0.0-0.001,0.001,10,0.61582089552238806,0.014004422812823745,0.62142857142857144,0.068586307909473163,0.43918241618816578,0.07589082843532402
50,0.0-0.0,0.001,5,0.65022222222222237,0.0080451401377099087,0.61599999999999988,0.049098540372058623,0.44740765923969505,0.059889697843332104
50,0.0-0.0,0.001,10,0.6414925373134327,0.011004363338009998,0.62714285714285722,0.057303346057518786,0.44425378709596924,0.070309876378875313
50,0.001-0.0,0.01,10,0.62149253731343279,0.026356704542858638,0.61142857142857143,0.069340920568637665,0.40004256475114575,0.086848700649728716
50,0.001-0.0,0.001,5,0.63748148148148154,0.011185920996155672,0.62666666666666671,0.050596442562694056,0.42085741325897735,0.053550594628181653
50,0.001-0.0,0.001,10,0.62671641791044785,0.013800119776971698,0.62428571428571433,0.056079389789687219,0.42467950086530443,0.062644067053454711
50,0.0-0.001,0.001,5,0.64814814814814825,0.0083345678097986459,0.628,0.051794465598813448,0.44884120081364676,0.058380597838869147
50,0.0-0.001,0.001,10,0.64238805970149249,0.0085009139497899244,0.62857142857142867,0.054210474174315064,0.43823027044742507,0.058580230592310691
100,0.0-0.0,0.001,5,0.65377777777777779,0.010179190154845554,0.6386666666666666,0.051794465598813441,0.46558459242901079,0.058465557328861793
100,0.0-0.0,0.001,10,0.64268656716417916,0.0080431006479447717,0.6328571428571429,0.054229293988863725,0.44678873607721525,0.074600983353905789
100,0.001-0.0,0.01,10,0.63194029850746269,0.023666954797510201,0.62571428571428567,0.066944997222057032,0.4138552910325578,0.081224549986113254
100,0.001-0.0,0.001,5,0.63733333333333331,0.009055233653295483,0.6293333333333333,0.050526120857323789,0.42275626334470784,0.055053702210403864
100,0.001-0.0,0.001,10,0.63089552238805979,0.014238680809237464,0.622857142857143,0.048318670072250748,0.41081389846251426,0.047014481447893969
100,0.0-0.001,0.001,5,0.65214814814814825,0.0089577579009368774,0.6359999999999999,0.05301572093885612,0.4626199907511227,0.064282516471399362
100,0.0-0.001,0.001,10,0.64074626865671647,0.0095347320917518689,0.63428571428571434,0.051587057386479382,0.43987345740834594,0.060828205347276267
200,0.0-0.0,0.001,5,0.66503703703703698,0.0059793884653661098,0.63866666666666672,0.03697446566363214,0.46561130397681677,0.045340150878759193
200,0.0-0.0,0.001,10,0.65507462686567175,0.010350291610498998,0.62428571428571433,0.050325471296595807,0.42381316801042584,0.057041938376826952
200,0.001-0.0,0.001,5,0.63555555555555565,0.0095322713731232078,0.62533333333333319,0.053483122987017538,0.41389191380943274,0.054070679814049047
200,0.0-0.001,0.001,5,0.66370370370370368,0.0066253865999993892,0.6333333333333333,0.044322053702919119,0.4495521666576846,0.05585421261084246
200,0.0-0.001,0.001,10,0.65343283582089562,0.0097141134897152214,0.622857142857143,0.056856424977521129,0.42054261068631488,0.063163427285377022
20-20,0.0-0.0,0.001,5,0.63422222222222224,0.0085477758440009859,0.61599999999999988,0.067409198185410885,0.43724020809740349,0.079612827848314666
20-20,0.0-0.0,0.001,10,0.59611940298507471,0.012491030419646373,0.57999999999999985,0.053908463611752049,0.41111904839880442,0.065197873086276059
20-20,0.001-0.0,0.001,5,0.6154074074074074,0.011781271319745816,0.59999999999999998,0.05059644256269407,0.41541746117760719,0.072019966632418803
20-20,0.001-0.0,0.001,10,0.60238805970149256,0.016663027745615368,0.58714285714285697,0.046707950640776638,0.41271624001235202,0.061418950256114588
20-20,0.0-0.001,0.001,5,0.62637037037037036,0.016333963202770637,0.61466666666666669,0.068624582573108092,0.43654981123566639,0.083116026574559673
20-20,0.0-0.001,0.001,10,0.59567164179104481,0.0094502484288219498,0.58571428571428563,0.0578527335180474,0.41509734411960836,0.066492787493918667
50-50,0.0-0.0,0.001,5,0.65140740740740743,0.0093239223570723458,0.62666666666666659,0.046951511631090674,0.46756072842051821,0.060418109373437216
50-50,0.0-0.0,0.001,10,0.64597014925373131,0.010357821834565658,0.60857142857142854,0.046158555489724327,0.42383545470085232,0.058173990618249828
50-50,0.001-0.0,0.001,5,0.63674074074074072,0.011528934197537033,0.6253333333333333,0.055441661030111444,0.42506815440641094,0.059769910400910328
50-50,0.001-0.0,0.001,10,0.62791044776119409,0.013825923459248655,0.622857142857143,0.053145929250680776,0.41771571916415579,0.053985325188025866
